Input Image,Cloth Segmentation,flag,username,timestamp
/Users/bakytbek/Documents/Projects/huggingface-cloth-segmentation/flagged/Input Image/dafea013fc36a86ac16d35919203a1dc0a10513f/tmpf0587ffn.jpg,/Users/bakytbek/Documents/Projects/huggingface-cloth-segmentation/flagged/Cloth Segmentation/11378b85fac2a7254e536ba3d8c8c534ec7bd2ae/tmpfahh5cg3.png,,,2023-09-15 19:15:18.370165
/Users/bakytbek/Documents/Projects/huggingface-cloth-segmentation/flagged/Input Image/996d8b49cf841b7fa867398aded6666b406c0c32/tmpis0tcddb.webp,,,,2023-10-01 22:11:45.003177
